         432556090 function calls (255810924 primitive calls) in 134.296 seconds

   Ordered by: cumulative time
   List reduced from 7269 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   791336    0.322    0.000    2.177    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/functional.py:1712(relu)
   125622    0.236    0.000    1.973    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/eval_frame.py:1240(_fn)
   791336    1.780    0.000    1.780    0.000 {built-in method torch.relu}
   125619    0.494    0.000    1.642    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:1027(zero_grad)
   125619    0.904    0.000    1.479    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/adam.py:139(_init_group)
4480518/1172472    1.173    0.000    1.365    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/nn/modules/module.py:2837(named_modules)
        3    0.002    0.001    1.350    0.450 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:91(step_frame)
 20807206    1.303    0.000    1.303    0.000 {method 'append' of 'list' objects}
   251238    0.189    0.000    1.218    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/utils/_contextlib.py:120(decorate_context)
   251238    0.350    0.000    1.217    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/autograd/profiler.py:860(__exit__)
     4000    0.008    0.000    1.175    0.000 /Users/alexd/Documents/GitHub/deep-hedging/src/hedging_result.py:56(step_frame)
     4011    0.005    0.000    1.175    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/frame.py:702(__init__)
     4001    0.028    0.000    1.157    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/pandas/core/internals/construction.py:375(dict_to_mgr)
        1    0.015    0.015    1.152    1.152 /Users/alexd/Documents/GitHub/deep-hedging/src/orchestrator.py:54(test)
   753714    1.139    0.000    1.139    0.000 {method 'mul_' of 'torch._C.TensorBase' objects}
   753714    1.126    0.000    1.126    0.000 {method 'add_' of 'torch._C.TensorBase' objects}
  5359744    0.724    0.000    1.033    0.000 /opt/homebrew/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/random.py:500(uniform)
   125619    0.968    0.000    0.968    0.000 {built-in method torch._foreach_norm}
   753714    0.513    0.000    0.951    0.000 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/optim/optimizer.py:91(_get_value)


