split,episode_idx,n_steps,total_cost,mean_step_cost,std_step_cost,total_trade_cost,total_liquidation_cost,mean_loss
train,0,252,917.6153355871253,3.641330696774306,4.777089312891164,1057.1905559919417,5.4399376404256765,120218.77207560444
train,1,252,1155.262801662097,4.584376197071813,7.353381782034899,1215.431281318181,6.503713947948004,57540.706817819955
train,2,252,1077.1090645269417,4.274242319551356,8.084444294654878,953.1227880102203,1.562723168366664,309029.40488285676
train,3,252,1461.1155153185505,5.798077441740279,5.258638325614526,1337.6910685056403,10.070909970960583,1430915.5673615593
train,4,252,1546.9397277086123,6.138649713129414,8.049795674968571,1362.6869746415948,2.1736252180037474,1558923.6569638175
train,5,252,1530.1429753519672,6.071995933936377,9.82174762724532,1323.1856728844898,0.24811038006737313,2109700.5814204747
train,6,252,1331.8014987400068,5.2849265823016145,10.70670017721224,1276.0082997898087,17.324476042555123,4770195.916298034
train,7,252,959.9126363031286,3.8091771281870184,7.170699571339489,956.6452827336308,6.066038297421459,6347426.171183269
train,8,252,884.6219557243784,3.510404586207851,5.76879714889706,1000.3714589736034,12.125067996426672,6513865.594857352
train,9,252,1136.5695371914378,4.5101965761565,8.485629406699035,1115.6179946892405,0.03553746777961575,3721512.3142797076
train,10,252,1299.3750910361464,5.156250361254549,5.7790677733757745,1253.0541295341222,15.78057972026186,1219319.363147554
train,11,252,757.8005921199999,3.0071452068253968,11.009876215354398,758.4249082302905,9.806457787640294,309407.78187439934
train,12,252,509.54045275665874,2.021985923637535,8.646186944686846,670.011503420761,10.070428297253384,46648.607394748266
train,13,252,775.000115939609,3.075397285474639,5.391871938868928,815.9590575039176,10.315718889132656,75129.03332713294
train,14,252,920.0425565583897,3.650962526025356,6.5455983091639,882.8867030426765,9.453237865153799,84930.36848619248
train,15,252,638.9719076138667,2.5356028079915345,16.90432485543875,563.1113738051199,1.5900010156898652,3280579.5831928556
train,16,252,585.957841886846,2.325229531297008,3.739956001618215,642.8835513601442,6.3682746139671105,1131083.8562360492
train,17,252,638.9474010528736,2.5355055597336253,8.196466281325012,553.383656827197,8.47723809784643,5464382.717114645
train,18,252,719.1936955845949,2.8539432364468054,5.135869171520216,719.2449787747145,4.002569479859558,863467.1317952474
train,19,252,315.3421386943663,1.2513576932316126,5.20968580266694,531.5915723766809,7.41304603358689,2656757.5126410592
train,20,252,527.2532275184485,2.092274712374796,4.434075597709205,632.0716483008453,12.927366264782455,7914596.981071351
train,21,252,678.5385735965319,2.692613387287825,9.46576441262871,548.9934960076547,7.001813501759987,14560797.021240234
train,22,252,764.309486969363,3.0329741546403293,9.55654667648766,605.2330440953298,6.570086807218777,22983741.662680972
train,23,252,527.4031786245145,2.0928697564464858,5.3693191143968875,557.5602967734303,9.456480486122251,13543393.488298688
train,24,252,478.15796683516845,1.8974522493459067,5.594428069244334,523.3174972476806,12.549035077817809,8194824.728432307
train,25,252,673.3292787535739,2.671941582355452,13.940702910701347,473.9458329884316,2.780784896454053,15800040.423956009
train,26,252,427.5524881391626,1.6966368576950894,4.7181422189834645,500.7658243790509,4.416416636330755,24774009.26176138
train,27,252,650.1034393855978,2.5797755531174515,4.246230664062605,664.498101390899,10.51971254955885,57427737.17229353
train,28,252,333.23861464832964,1.322375454953689,4.681262245168813,447.931528787725,11.346046719983978,23975463.455934554
train,29,252,500.21970052363014,1.984998811601707,14.504273731110487,639.034081955568,0.03969437177447861,32749641.72187345
train,30,252,418.9610225220751,1.6625437401669645,5.8897554666770775,529.5110640262061,1.2484567161799132,58118704.656149246
train,31,252,768.5741794504283,3.0498975375016997,8.232854002820645,606.3343294137089,14.764793659812156,23408191.55813647
train,32,252,534.9892972895789,2.1229734019427733,6.501126288124491,449.31503620380477,13.18055023645171,19117827.01829117
train,33,252,504.66067636273914,2.002621731598171,5.336459197263664,496.16639460424864,14.096243918565074,23194455.849655878
train,34,252,486.83793851475275,1.9318965814077491,4.956501405876127,429.8567779871786,10.221307039780614,28600486.732185487
train,35,252,363.71253025728106,1.443303691497147,3.7893636821052263,393.29767285742196,11.00098995037036,6182125.257610987
train,36,252,603.4416266486902,2.394609629558295,4.838569287787624,437.7299730974392,14.069323317855218,3151697.488482763
train,37,252,435.3048764404793,1.7274003033352354,5.157325692799484,457.7172738881931,5.123281810214382,11151396.021949405
train,38,252,362.3797846730007,1.4380150185436535,5.7603953608687,329.4897230687721,1.9250489558456485,9590382.023704892
train,39,252,296.6101561937629,1.177024429340329,4.088008791106637,335.98460504780206,8.543854582725823,20216804.590297155
train,40,252,264.5420866828024,1.0497701852492158,3.2618379622010623,279.26640446711383,10.711320379942268,28522019.45906188
train,41,252,471.58314089146927,1.8713616702042433,10.098623603402814,311.05826782130475,3.2191404850151244,32482192.820378378
train,42,252,318.2121245069128,1.2627465258210824,4.003621981805698,373.12179770528,2.81353800245226,35365966.32407149
train,43,252,257.93431481512994,1.0235488683140077,3.949715058879327,236.59316510410986,6.185724768606916,42032094.94501023
train,44,252,261.4731098777393,1.037591705864045,4.483619465028129,287.6052736874518,4.458684474298986,49837147.54804532
train,45,252,183.83856341601842,0.7295181087937239,4.11626887498167,311.29268876084996,11.367521435052746,43134129.28276135
train,46,252,416.1021394504565,1.6511989660732398,7.665316776406216,318.9127828665472,14.380896684498717,57332695.50485956
train,47,252,160.47595416980928,0.6368093419436877,3.975457256255566,312.0000450431488,12.492822382557168,55763259.2320111
train,48,252,370.4299513446193,1.46996012438341,6.394364901678898,376.6346686901306,0.7820253250901358,80015491.40176246
train,49,252,235.85245344511296,0.9359224343060037,3.9847300391973475,307.8747334625859,0.13083878168904978,59269137.871039495
train,50,252,476.853353417612,1.892275211974651,4.280863276348634,429.10656562311243,14.80639977693324,40634873.56363157
train,51,252,330.9095950177612,1.3131333135625445,6.030494371589252,272.20051870286875,11.844038651361041,90480320.89881727
train,52,252,380.3278500492154,1.5092375001952991,7.366728088047139,286.4982086195929,0.9147585852315505,109719855.17530847
train,53,252,163.5134779053662,0.6488630075609769,6.920108757147633,246.5933565211037,8.225599298609543,96797480.35422868
train,54,252,240.80539163486333,0.9555769509319973,4.083220731088087,190.73259463032815,1.8092143761914976,86641476.6833845
train,55,252,402.09329033890975,1.5956082949956736,10.354723903248985,273.4714465974542,0.8753138124622633,102115960.91228764
train,56,252,217.16958542359896,0.8617840691412656,4.482513722861653,308.05817531270316,0.014792183698206547,106906561.54047309
train,57,252,59.676108735857284,0.23680995530102095,3.4395903645851047,149.29094236042107,1.578360369136277,96328249.44276258
train,58,252,283.24506755948,1.12398836333127,7.479175729976147,237.33305557196564,1.0555859401412764,97937395.78269935
train,59,252,209.0713234773307,0.8296481090370266,3.21095440380253,242.1892464553246,2.0074897281535837,119424718.55970207
train,60,252,96.64492383785458,0.38351160253116895,4.33326942181817,172.1384015515866,5.791935401319158,80427795.56036086
train,61,252,249.49804375094516,0.9900716021862903,8.539117097496325,220.23543174783018,1.4145186318498233,54333360.657637335
train,62,252,147.98437345755698,0.5872395772125277,5.704458564708551,185.61334377410967,10.878508544195945,66179633.40789311
train,63,252,279.8105214285326,1.1103592120179864,5.328012986235519,212.61583423348458,15.421223162624676,59281740.31205047
train,64,252,126.88459432404355,0.5035102949366808,5.09500921831182,150.84300117177526,3.3594623938553094,71998003.45083085
train,65,252,213.45434942248,0.8470410691368252,7.234659068905403,253.36224402032718,3.8703978313931047,104750646.3421534
train,66,252,241.3342944805586,0.9576757717482485,3.663721484764161,228.74291847148592,11.611665055123083,115644907.08930121
