         2464363 function calls (2406665 primitive calls) in 1.357 seconds

   Ordered by: cumulative time
   List reduced from 7170 to 60 due to restriction <60>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.149    0.149 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/torch/_dynamo/side_effects.py:1(<module>)
      186    0.003    0.000    0.142    0.001 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/axis.py:1276(_update_ticks)
        6    0.000    0.000    0.130    0.022 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:871(figure)
        6    0.000    0.000    0.129    0.022 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/pyplot.py:548(new_figure_manager)
        6    0.000    0.000    0.123    0.021 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:3497(new_figure_manager)
        1    0.000    0.000    0.123    0.123 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/sympy/polys/__init__.py:1(<module>)
        6    0.000    0.000    0.122    0.020 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:3506(new_figure_manager_given_figure)
        6    0.000    0.000    0.122    0.020 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:1774(new_manager)
        6    0.038    0.006    0.122    0.020 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backend_bases.py:2648(create_with_canvas)
      799    0.001    0.000    0.119    0.000 <frozen importlib._bootstrap_external>:950(get_data)
       12    0.000    0.000    0.116    0.010 /Users/alexd/Documents/GitHub/deep-hedging/.venv/lib/python3.14/site-packages/matplotlib/backends/backend_agg.py:375(draw)


