split,episode_idx,n_steps,total_cost,mean_step_cost,std_step_cost,total_trade_cost,total_liquidation_cost,mean_loss
train,0,21,241.8866099236685,11.518409996365166,20.226566125966187,362.2497087782055,24.235596287669654,
train,1,21,362.4698067157878,17.260466986466085,22.497969145440738,362.48047792937393,11.082041596176593,
train,2,21,232.24063351032635,11.059077786206016,19.314760647573053,263.3336653947391,4.44659133887293,
train,3,21,389.3306210364787,18.539553382689466,24.93525739868624,376.6902900691706,2.890466972456937,
train,4,21,233.35424200721263,11.11210676224822,18.488402191871124,245.08041986942033,29.79742456164374,
train,5,21,434.2862193343152,20.680296158776912,22.62794505707133,259.33539575982525,27.126228749520052,
train,6,21,373.2186526915741,17.77231679483686,37.55371445808143,272.95575382091727,39.66330729115599,3.029685068130493
train,7,21,488.2916486047727,23.25198326689394,26.72746815264832,400.6135886736506,41.4878402901226,7.32753308614095
train,8,21,285.4256654733082,13.591698355871818,17.017204970435227,367.6217236858168,20.920859856479,8.528952507745652
train,9,21,225.28477840398295,10.727846590665854,26.807079579437072,251.3618871641598,27.173646676789225,7.124228341238839
train,10,21,263.60009375995503,12.552385417140718,17.77307391419849,326.46530821262076,7.012341240615918,12858.780354795002
train,11,21,267.90183784333084,12.757230373491945,14.02975931440867,272.0708636562887,37.46257020499321,92308.03895114717
train,12,21,362.0344919308902,17.239737710994774,25.783025163745588,348.28883034929333,17.884081675445675,1408.2707551093329
train,13,21,194.6249470358897,9.267854620756653,18.05892066594853,282.70205738599674,23.58373962819876,3459.8435751597085
train,14,21,310.86811976849305,14.803243798499668,21.566203441044586,185.2069838538272,37.429023216504284,7.613933381580171
train,15,21,234.6966409239682,11.176030520188963,15.448272394252571,210.73093026060963,44.06944793361718,8.417191846030098
train,16,21,256.2003844275271,12.20001830607272,21.557862221854652,291.56425372222833,5.889236386364258,7.650944732484364
train,17,21,343.00075697733735,16.333369379873208,22.54942968798764,300.75713894547323,15.697133395359556,8.226686795552572
train,18,21,247.7753845565732,11.798827836027295,31.887870200132557,312.88023731767345,39.9196534101595,8.042368639083136
train,19,21,179.29100909664757,8.537667099840359,17.912580950396826,208.47995676845633,27.11512752326108,8.118430546351842
train,20,21,245.73962380019606,11.701886847628385,31.8039354633147,295.6818839416224,29.58065318956777,11.329342387971424
train,21,21,391.76755101429075,18.655597667347177,21.35321995823863,312.93221217150443,3.991720869091209,12.646521795363654
train,22,21,195.15133686246378,9.292920802974466,29.01376124124858,329.20775069159845,3.6684520740304754,12.384997504098076
train,23,21,137.8241061969978,6.563052676047515,16.499720952469485,263.4775385598153,21.700586255397326,12.842805135817756
train,24,21,337.0917170234387,16.051986524925653,22.093344289660134,267.87037075705257,27.577647568602046,12.216181119283041
train,25,21,471.6759313687332,22.46075863660634,37.47687712829824,198.95386380235632,35.24346956339414,19.840813727605912
train,26,21,275.37434285253966,13.113063945359032,19.01743088215047,278.9598005283967,26.196012726118372,25.30481801714216
train,27,21,117.75756616343013,5.60750315063953,12.455834535263564,293.56798949552945,22.322387543508825,25.245489937918528
train,28,21,287.5335102491125,13.692071916624405,25.48441021125793,391.78824463808036,9.344257635430205,24.661993844168528
train,29,21,469.6140366507351,22.362573173844527,29.790082756539253,229.40264063478978,17.529105528031447,26.132521765572683
