split,episode_idx,n_steps,total_cost,mean_step_cost,std_step_cost,total_trade_cost,total_liquidation_cost,mean_loss
train,0,21,262.8705465496794,12.517645073794256,26.492597988654452,379.7432652774246,39.794520578047525,
train,1,21,458.176627251236,21.81793463101124,28.00047302252594,339.36319692940907,26.286443096688718,
train,2,21,321.2864159505713,15.2993531405034,23.165519297612274,203.26203723296825,35.02920471847222,
train,3,21,492.43711154203197,23.449386263906288,30.63507874995179,365.77591993704345,40.59686726398009,
train,4,21,325.86311651728977,15.517291262728085,16.691941664025613,291.35935153192,16.057182526062206,
train,5,21,512.1537377975944,24.388273228456878,35.72202867120361,344.3583333930444,29.328333364474194,
train,6,21,411.62930084576954,19.601395278369978,32.03241294450698,326.81559023219825,24.219918255174896,5149.0454854726795
train,7,21,273.34196735985773,13.016284159993225,23.00620477512127,274.49067193598404,7.516349775026194,7.996591726938884
train,8,21,208.87735727136211,9.946540822445815,18.40408465608318,273.92137670039733,24.364010801744705,10.51274622054327
train,9,21,330.2538925007145,15.726375833367358,15.010531737231497,375.86492520966596,40.673890730902464,11.252440316336495
train,10,21,376.92131470734694,17.948634033683188,37.11168742400071,350.00477520279384,4.53647280003432,1596.3226170539856
train,11,21,239.72045686688188,11.4152598508039,12.419035722021981,306.44745928800444,6.656448216892688,26132.04950795855
train,12,21,231.2085730718658,11.009932051041229,29.66399860461577,339.909015103963,4.923517026116919,30.678978329613095
train,13,21,133.34533663635054,6.349777935064312,15.087731948605327,274.25990267205964,34.29074430083713,30.038130351475306
train,14,21,424.79352976725795,20.228263322250378,19.430013395994997,334.4740162696957,3.6569176947741937,29.438799176897323
train,15,21,354.0145350366686,16.85783500174612,19.837598942157136,270.29767459596206,21.087591210638127,64253.02857807704
train,16,21,353.6715441715051,16.841502103405006,19.403922327935483,246.3743422978379,32.31351319249416,50.64444723583403
train,17,21,333.86541531817636,15.89835311038935,17.265678333309616,293.0726790640154,13.536312636272223,42.11889212472098
train,18,21,214.0309574970855,10.191950357004071,26.403917963429752,265.06592658291163,7.302483336924333,446486.30423028127
train,19,21,377.18762341384786,17.96131540065942,22.434677919625877,360.7913643122159,40.99401129800265,38.23410906110491
train,20,21,259.7582679491156,12.369441330910266,35.056298863321636,390.2625067055186,1.3861482030665282,86887.85228720165
train,21,21,414.2206097412851,19.724790940061194,19.89969964660174,315.25179590769903,26.690467132351976,48304.462736038935
train,22,21,235.3979430603218,11.209425860015324,46.39913529104543,253.3649004864529,4.952209697287572,59.93964949108305
train,23,21,256.7373332808912,12.225587299090058,32.50340979690989,289.2540681035846,27.793117562408185,83298.76745496478
train,24,21,413.88236452604855,19.708684025049934,23.674490142495387,342.3939269691078,20.886363358863033,16094.281057085309
train,25,21,433.9743853401227,20.66544692095822,23.65133199247,239.7013127682431,23.136238339612778,245168.4292686099
train,26,21,448.3492756348428,21.349965506421086,19.328989220178848,412.8090119233606,25.310316494395195,381140.7158085051
train,27,21,456.42409434406187,21.734480683050567,26.421435797954324,397.92499203066484,35.24999861684303,768049.474323636
train,28,21,247.67763817331092,11.794173246348139,23.625845458154853,341.74268776424054,8.034702136532317,1129632.1128307525
train,29,21,568.626042939264,27.077430616155432,27.047677353073063,341.61935176994143,1.7259170861681756,1401204.9123506092
train,30,21,421.21095626126703,20.057664583869858,25.144299115445754,296.09440912004544,1.3631120527593166,2563675.964285714
train,31,21,145.15870343811605,6.912319211338859,26.38983625995565,286.6499943956036,20.591281756188017,2378335.0595238097
train,32,21,277.8961777561326,13.233151321720602,23.843069888776075,320.370642115618,33.64113514755861,2425978.6964285714
train,33,21,526.024168234036,25.048769915906476,28.523556208786935,449.3736886459668,36.547381737095236,2100734.130952381
train,34,21,311.79574617932485,14.847416484729756,24.5141143992114,333.07103306724866,38.1270267035696,1620333.4657738095
train,35,21,502.03968870564825,23.90665184312611,25.992180110389597,342.9994534884425,22.497928733545898,1778582.556547619
train,36,21,470.4036097214154,22.400171891495972,34.98175235569234,365.39786205360923,0.8370287008416866,1281321.0
train,37,21,249.60783993966072,11.88608761617432,19.57223237225046,297.630170031844,36.21853788051682,1028276.025297619
train,38,21,159.5113758059871,7.5957798002851,14.512143382652468,210.99090126756067,36.40021843622743,1013963.287202381
