split,episode_idx,n_steps,total_cost,mean_step_cost,std_step_cost,total_trade_cost,total_liquidation_cost,mean_loss
train,0,63,660.1358972185261,10.47834757489724,11.68018947899056,621.121475882011,10.434918699674864,
train,1,63,440.91626630916187,6.998670893796221,16.8313423319939,398.01542941159653,3.879277245931692,
train,2,63,393.02768589528824,6.238534696750607,10.960314248670691,432.28730629627375,15.377625325873922,9044.781164723057
train,3,63,383.82529862137807,6.092465057482191,11.84213432379162,518.827548467266,3.7589922014351083,18529.33587576851
train,4,63,527.8527656275552,8.378615327421512,13.357015901078487,489.3450900308911,16.490889750572425,11551.389118118892
train,5,63,585.5542533452362,9.294511957860893,9.190595810826814,592.8062531594433,19.374230258554643,128177.55991471003
train,6,63,508.1917554726618,8.066535801153362,10.23648385509887,490.98762131104445,24.70740908473406,113875.99030409919
train,7,63,484.82344103290933,7.6956101751255455,13.702124810237203,505.4001584986433,14.525819650067985,63909.17949127016
train,8,63,579.9631886499939,9.205764899206251,15.786680382937668,484.2316231065688,0.3445759259281828,77775.52109627497
train,9,63,510.52100762076975,8.103508057472537,15.336661991686354,487.02817344173945,16.065223037040283,131152.9506186228
train,10,63,393.3638295811351,6.243870310811668,15.316907537419787,433.393868021277,15.190699717017052,186304.39828563872
train,11,63,531.1931597562773,8.431637456448847,10.479940841219873,501.5380880762054,5.572812849697623,84536.92093340556
train,12,63,546.3382939023522,8.672036411148449,11.196629016728078,529.1049265436659,14.290360586712163,184308.23640151252
train,13,63,681.5340258587768,10.818000410456774,13.750818373754491,622.0162561523166,21.81539933981642,460682.8424537901
train,14,63,688.6236607058345,10.930534296918008,16.884736251792187,565.8327238286809,2.5878173843217205,627137.215188647
train,15,63,526.0458094750376,8.349933483730757,12.108557587892331,557.6319545982316,12.654621997767116,1014566.1666803511
train,16,63,716.5404613482,11.373658116638095,15.113315344497828,622.3907763142629,20.725861982787233,1058332.2666722857
train,17,63,651.8108599200934,10.346204125715769,12.173770891096181,539.2313051321701,12.420455525735521,1200072.0778381105
train,18,63,390.3654507623678,6.19627699622806,12.250547529140755,479.1733598486766,18.047720736476993,2328871.6708829366
