split,episode_idx,n_steps,total_cost,mean_step_cost,std_step_cost,total_trade_cost,total_liquidation_cost,mean_loss
train,0,21,300.2569610346108,14.297950525457658,17.539784958443384,311.99776480208266,24.77001639939577,
train,1,21,243.56429877384394,11.598299941611618,26.089626581385446,323.0573877092748,11.087313298653013,
train,2,21,350.31308212805584,16.68157533943123,24.344407616075156,291.0692851395711,26.61686689317441,
train,3,21,209.3047932728526,9.966894917754885,19.93001396992196,293.6689227721145,32.76361975863591,
train,4,21,240.62719409528623,11.458437814061249,12.239176667763275,262.73275655359123,0.8589123436217134,
train,5,21,421.84460553254416,20.08783835869258,32.91253598384791,263.1879613087367,20.11478326809144,
train,6,21,371.6349677015261,17.69690322388219,28.79570030795861,257.6242122443565,24.181701113775418,5.52644579410553
train,7,21,324.15405885768433,15.435907564651634,14.616095211679013,363.42828383051005,22.64617449075182,7.096880095345633
train,8,21,250.17937174265782,11.91330341631704,12.371787727668519,256.46364841726046,7.482902862886655,5.75698505129133
train,9,21,316.84849829228386,15.088023728203993,17.091249955646365,337.8796853301166,25.858422126284026,4.985500085921514
train,10,21,276.7397277293016,13.178082272823886,25.79175506052033,348.0422836919294,6.790246637915297,732.4618744623093
train,11,21,272.6665908777894,12.984123375132828,19.637649744875343,332.19959071925075,18.021642403952598,47504.47605582646
train,12,21,313.8012821170153,14.94291819604835,32.25591718523043,262.10568202320314,30.570560865773764,6033.410806519644
train,13,21,136.37572584113607,6.494082182911242,12.611629450640946,207.20132617182384,18.26818819055063,20900.407475426084
train,14,21,447.60280183613645,21.314419135054116,20.340626764666077,354.3804065653491,2.1538479915693056,30243.892802374703
train,15,21,360.212509518549,17.152976643740427,21.504653096840705,299.7190794057734,28.466716719234558,46485.822547095166
train,16,21,251.25870822739134,11.964700391780541,19.705036879017914,297.1137688376729,9.687644271591363,4099150.8236965905
train,17,21,393.10127662098193,18.71910841052295,20.23980481462535,326.5481513774461,25.490222794808865,50384.31924674624
train,18,21,424.0645202533591,20.193548583493293,30.332567857566804,357.1530045965815,42.663270106402294,49187.25543240138
train,19,21,392.96002545934255,18.7123821647306,20.958274787851153,346.4474337455056,0.8798446225219853,36243.780405498685
train,20,21,322.2365044765879,15.344595451266091,27.233980397303068,338.3527348189932,14.088613234317947,193708.5296758016
train,21,21,391.4369196316293,18.63985331579187,28.59666138581321,305.5050059358749,32.476597834185014,1708385.407737732
train,22,21,383.95388767996087,18.283518460950518,31.898603052549277,247.1581317493135,33.68104864659173,146484.4991938273
train,23,21,229.36082828989564,10.921944204280745,23.391908689501772,265.61546183847753,2.6786851821256845,73956.16103508358
train,24,21,327.05668521285696,15.574127867278904,29.192166656914385,275.9270193322702,29.294773792109265,65047.16312108721
train,25,21,535.8417766614631,25.516275079117296,36.64861090036263,390.36325348394655,6.9628275142292395,2059379.852248964
train,26,21,206.69997456392198,9.842855931615333,16.96222089607272,219.61329393655873,20.05655154445452,1248670.9554150898
train,27,21,151.09977645721116,7.195227450343389,21.303271325992775,351.6797977606038,26.623969318860137,157214.02296829224
train,28,21,368.82877159746886,17.563274837974706,14.154838120766337,368.41990411153705,30.16892890814047,188347.00750532604
train,29,21,533.141101243751,25.387671487797665,38.18832087170455,263.65194704101805,21.020721469150548,357099.8765798296
train,30,21,417.1495340858442,19.864263527897343,29.973021258058264,300.5871726649631,28.123675229717282,326253.88183702744
train,31,21,240.5249542703355,11.453569250968359,31.497825947590496,313.9375379484602,26.312067339655215,770224.2028132847
train,32,21,126.66759367846038,6.03179017516478,29.315010910811967,242.240768237149,42.227973264746616,295528.5881927127
train,33,21,175.74090147690924,8.368614356043297,16.052536557550788,236.15903263925136,15.539053936242004,124745.75883447556
train,34,21,289.3606181710217,13.77907705576294,16.92336910713066,306.28627844110684,14.27843769155719,97289.71084122431
train,35,21,443.1736147990843,21.103505466623062,28.209707849486254,359.9764405517268,18.941956968323694,844904.220258622
train,36,21,310.82669730567955,14.801271300270454,24.29820131526366,325.2808569598838,28.226556131084106,997810.9284288315
train,37,21,184.83515518810805,8.801674056576573,16.89448107033588,261.42916764303783,28.97106053474797,1491387.7735481262
train,38,21,304.97714177453383,14.522721036882563,14.496754363268105,305.610123972692,19.570722090495806,1356579.9877308437
train,39,21,229.68576099534894,10.937417190254711,17.12082877833686,303.0608952416012,29.940604965696597,1614341.3402818951
train,40,21,192.29822590091896,9.157058376234236,13.358948459397435,275.39904468489306,9.376481584350705,1944923.1320466541
train,41,21,239.6376506689756,11.411316698522647,33.64246468210309,222.82453151740071,10.457228416479767,1807354.322483971
train,42,21,543.0118606006278,25.85770764764894,19.92803267885228,346.9783864297575,44.74798640525509,2195595.4890065873
train,43,21,463.5039522452616,22.071616773583887,28.11793598961647,308.4518148418175,33.50291423003216,1648860.312528701
train,44,21,312.6585361019219,14.888501719139141,22.728872930579115,417.2899050280199,17.68974253648373,3742842.2567011514
train,45,21,194.3370720178758,9.254146286565515,17.637538234971196,227.43344097857053,38.65886017005504,2255170.5924798874
train,46,21,362.2576484117139,17.250364210081614,34.7519151646396,234.89895950045457,32.74068501594531,725248.9583511353
train,47,21,300.2418039847493,14.297228761178538,20.398036112707054,266.324187746713,22.368100684069102,3884368.8434836976
train,48,21,394.2148112962416,18.772133871249597,21.775496160036283,294.6348162079799,0.21359627904691061,3255141.47433508
train,49,21,300.3293732502467,14.301398726202223,22.813793263528616,296.2800022023806,21.935836339753603,2842757.8351018997
train,50,21,332.4847169934715,15.83260557111769,22.61453364175332,318.2104359194656,0.34324642068715056,2509115.365412394
train,51,21,511.4853865412233,24.35644697815349,15.771671440945346,374.0242806268317,38.89418839598714,3596549.866566976
train,52,21,290.325100329151,13.825004777578618,24.646243075073393,287.21117881655414,31.842650885760865,3903148.839738392
train,53,21,422.33395808519003,20.111140861199527,21.6170882698337,372.4016194124143,34.24850146926767,4698240.094970703
train,54,21,193.34876271497424,9.207083938808298,17.18798575946285,305.5017735585302,22.325895459459517,6878665.612035115
train,55,21,381.61490330069597,18.172138252414094,17.352363824737555,345.5300988312515,6.935672196386279,6537421.833695911
train,56,21,418.99802200152095,19.952286761977188,35.379635436360886,317.6877972536925,3.913708023648909,10437149.985211328
train,57,21,268.8459646979545,12.802188795140692,14.031703896022004,294.0815590002646,7.931397190932106,15488714.5
train,58,21,347.1422627857814,16.530583942180066,23.77453780547569,254.07832564739735,36.12780748391175,15578268.634946551
train,59,21,268.3773481864635,12.779873723164929,21.49163006738707,281.34975890548003,13.543916978562248,45837258.666666664
train,60,21,221.40755681755402,10.543216991312097,12.873544139238914,251.37235769909404,15.361025491114681,30292186.0
train,61,21,212.17828794459209,10.103727997361528,21.426098221837112,254.38255392190047,13.985714526628177,28502964.714285713
train,62,21,220.6849808187747,10.508808610417843,20.700368273580796,326.0007844691607,29.049905882176382,27493071.38095238
train,63,21,297.3500423117969,14.159525824371281,20.719842578361106,301.3132452820026,22.994649687276638,24244870.35714286
train,64,21,434.18967012355296,20.675698577312048,32.645302607715664,266.08587429443827,7.036340996379972,17816789.04761905
train,65,21,223.1861043230812,10.627909729670533,21.25796615295414,314.59195265454326,31.807698058066826,16014786.214285715
train,66,21,468.0029097020825,22.28585284295631,28.833253958308298,409.9185536903959,13.64687595072581,14571371.19047619
train,67,21,285.09372453189667,13.575891644376032,28.948656500241977,352.81915412203693,2.1195148870083385,10404859.476190476
train,68,21,345.71626004055753,16.462679049550356,16.908687686205216,273.39460844625324,23.381626795789295,11919433.901785715
train,69,21,516.9576982873824,24.617033251780118,25.3633827565276,402.81241861949877,1.3142229477643073,8092666.857142857
train,70,21,208.81743721899252,9.943687486618693,19.69861736863414,352.3924222408039,2.512230174829891,7428504.707003639
