split,episode_idx,n_steps,total_cost,mean_step_cost,std_step_cost,total_trade_cost,total_liquidation_cost,mean_loss
train,0,21,241.8866099236685,11.518409996365166,20.226566125966187,362.2497087782055,24.235596287669654,
train,1,21,362.4698067157878,17.260466986466085,22.497969145440738,362.48047792937393,11.082041596176593,
train,2,21,232.24063351032635,11.059077786206016,19.314760647573053,263.3336653947391,4.44659133887293,
train,3,21,389.3306210364787,18.539553382689466,24.93525739868624,376.6902900691706,2.890466972456937,
train,4,21,233.35424200721263,11.11210676224822,18.488402191871124,245.08041986942033,29.79742456164374,
train,5,21,434.2862193343152,20.680296158776912,22.62794505707133,259.33539575982525,27.126228749520052,
train,6,21,373.2186526915741,17.77231679483686,37.55371445808143,272.95575382091727,39.66330729115599,1.77083677649498
train,7,21,488.2916486047727,23.25198326689394,26.72746815264832,400.6135886736506,41.4878402901226,2.7683735007331487
train,8,21,285.4256654733082,13.591698355871818,17.017204970435227,367.6217236858168,20.920859856479,2.3643123592649187
train,9,21,225.28477840398295,10.727846590665854,26.807079579437072,251.3618871641598,27.173646676789225,1.9321155604862033
train,10,21,263.60009375995503,12.552385417140718,17.77307391419849,326.46530821262076,7.012341240615918,1.9122757400785173
train,11,21,267.90183784333084,12.757230373491945,14.02975931440867,272.0708636562887,37.46257020499321,2.08808590116955
train,12,21,362.0344919308902,17.239737710994774,25.783025163745588,348.28883034929333,17.884081675445675,2.1397215922673545
train,13,21,194.6249470358897,9.267854620756653,18.05892066594853,282.70205738599674,23.58373962819876,2.2477207410903204
train,14,21,288.49847884387276,13.738022802089178,14.491388128315506,253.980311025536,41.980549686884295,2.160146724610102
train,15,21,180.94326957640882,8.616346170305182,16.3269737240711,197.25350830455253,28.24836835766949,2.3275910388855707
train,16,21,353.4728061157626,16.832038386464884,21.153970946723636,306.02834378372705,20.06835748825503,2.473310345695132
train,17,21,500.3663551579477,23.826969293235603,26.102835053523016,300.2698813196921,1.739618873026512,2.577198108037313
train,18,21,320.5165619247022,15.26269342498582,23.290956293350344,382.88048762859984,41.00057947049072,2.4676091443924677
train,19,21,384.5240009499039,18.310666711900186,18.14532170601399,435.16359028343135,4.74953120409288,2.4840576308114186
train,20,21,337.7819032169285,16.084852534139454,35.74013268559287,330.403031660121,31.215824886760863,2.878754661196754
train,21,21,572.3521789749996,27.254865665476167,27.80594076296092,385.62809382564916,0.3266113256069915,3.0774443376631964
train,22,21,295.9849515233276,14.094521501110837,35.491050465536865,287.29457932670454,17.79252986938828,2.9542578969682967
train,23,21,295.9282352330264,14.091820725382208,17.22577044307896,317.35616869052143,15.773129576357547,3.1494063422793435
train,24,21,408.6536740782629,19.45969876563157,19.645120322535256,259.30621283386887,25.8900245807027,2.887010858172462
train,25,21,336.92965961233335,16.044269505349206,25.08548290744108,169.34409388427434,31.48727989186193,3.193826607295445
train,26,21,331.0152340441652,15.762630192579294,17.26799319360256,346.48343874864685,27.80740235799028,3.239018962496803
train,27,21,348.89498835600455,16.614047064571647,27.86490433560884,360.9321302982565,12.975194277921098,3.3230565388997397
train,28,21,359.21201132863814,17.10533387279229,19.89584387270147,451.7160136731032,23.86259095682756,3.6247603666214716
