timestamp;process;agent;benchmark;seed;train_episodes;eval_episodes;run.rebalancing;run.maturity;hedging.agent.actor_objective;mean_rl;std_rl;skew_rl;cvar95_rl;cvar99_rl;y_rl;mean_bm;std_bm;skew_bm;cvar95_bm;cvar99_bm;y_bm;improvement_pct;ok
2026-04-24T18:44:16;GBM;DeepDPG;BsDelta;42;50000;5000;3;0.25;mean_variance;43.263537154075365;38.35606045929329;0.37138986008821573;132.19417137105458;176.1181295425756;100.79762784301528;60.77630401515523;34.23347192929627;0.5690168023973623;143.60387259946665;176.6391266982763;112.12651190909963;10.103662258992433;True
2026-04-24T18:44:16;GBM;DeepDPG;BsDelta;42;50000;5000;5;0.25;mean_variance;42.63725302802085;45.74097509101376;0.6899348213545039;155.2328666049877;215.87179423577476;111.24871566454148;52.20072742322641;41.17219273566767;0.5742331583296408;151.3825716290148;198.2616553071191;113.95901652672794;2.378311909659894;True
2026-04-24T18:44:16;GBM;DeepDPG;BsDelta;42;50000;5000;3;0.0833333;mean_variance;63.18076062955047;54.6069700995503;0.43818170710259763;187.50186063244425;228.94337735290614;145.09121577887592;72.18709006399237;54.48420029936291;0.46686390729418265;197.8177188721443;241.84058922095576;153.91339051303677;5.731908513452959;True
2026-04-24T18:44:16;GBM;DeepDPG;BsDelta;42;50000;5000;5;0.0833333;mean_variance;57.02453176510537;68.00024744511686;0.6402841276678297;216.45183436655685;268.6728766536191;159.02490293278066;60.57940686951325;66.91580825898512;0.6985112983952702;222.18010921209716;283.1900466359956;160.95311925799095;1.1979987303753696;True
2026-04-24T18:47:25;GBM;DeepDPG;BsDelta;42;50000;5000;2;0.0833333;mean_variance;66.26563823606031;50.58883325080872;0.2925297361390444;178.6280469643908;217.2097404348862;142.1488881122734;79.93924563816407;47.109927907063486;0.48155650342227363;190.27954390660696;230.9278746636671;150.6041374987593;5.614221180713276;True
2026-04-24T18:49:05;GBM;DeepDPG;BsDelta;42;50000;5000;2;0.25;mean_variance;51.65237199434661;32.28101327575828;0.6021191136259747;131.5013236123032;166.58236992155832;100.07389190798403;71.04996939705708;30.41195775743526;0.6253118373584243;144.04791621004;176.43977936971936;116.66790603320996;14.223289582742984;True
2026-04-24T18:52:48;GBM;DeepDPG;BsDelta;42;50000;5000;1;0.0833333;mean_variance;87.54010861250127;40.30417216565309;0.7930531044561235;187.84210772353697;232.8094904843217;147.9963668609809;103.71900551977704;39.68294787198675;0.5775757108548891;198.7106413255416;235.07357396683264;163.24342732775716;9.340076177256117;True
2026-04-24T18:54:14;GBM;DeepDPG;BsDelta;42;50000;5000;1;0.25;mean_variance;50.441249284935225;37.99561347822961;0.7826100375005784;144.87154481058022;191.36728225091255;107.43466950227965;89.45503708377869;29.763301191731628;0.5010827171044734;158.98406878740653;184.4750681336388;134.09998887137613;19.884654423553226;True
2026-04-24T18:58:42;SABR;DeepDPG;SABRPractitionerDelta;42;50000;5000;5;0.0833333;mean_variance;57.45478699135573;67.68373820172077;0.6886772814804656;217.50960761328585;281.3354493056119;158.98039429393688;60.59572697019532;66.60193842062982;0.7341251254648853;221.65036099389278;288.0936674065268;160.49863460114005;0.9459521640020154;True
2026-04-24T19:02:28;SABR;DeepDPG;SABRPractitionerDelta;42;50000;5000;5;0.25;mean_variance;48.08323166501035;46.56896332014891;1.0311844897477203;171.83548287330112;239.3860867012088;117.93667664523372;52.8498788530191;43.55884003738132;0.8640787822142849;163.01271378046866;225.1709681201716;118.1881389090911;0.21276438243164036;True
